4.024993378414345, 0.003524687085709499
5.174489413664409, 0.002962960385698299
6.792951018745752, 0.0025778392396654084
9.29908822471673, 0.001953506240084229
12.208267320281033, 0.0012040487633311265
15.370504726477623, 0.0007171235844417475
18.95205296616989, 0.00029236037881736607
22.410153453344353, 0.00011517644848870445
27.632185212601104, 0.00004536470821793277
31.663954878704537, 0.000018501264230389397
37.83488169402596, 0.000008082283949730997
47.635282704264846, 0.0000046506532782789435
54.300197399248674, 0.000002032117097106366
65.22172589923953, 0.000001018944130833732
73.96074755364235, 3.878967987251393e-7
89.30276374227051, 1.9449412924099788e-7
101.26415877671852, 9.755126145135441e-8
119.73326948648999, 6.015738951436295e-8
147.6282138221754, 3.016017933869308e-8
178.25420240714274, 1.3636848238987412e-8
212.99604335507246, 5.560406770427977e-9
265.3861915147696, 2.5137298681184935e-9
327.2232746716062, 1.0607503578963718e-9
395.11101298549823, 4.476649910032321e-10
477.07568101819453, 2.095092929956582e-10
626.398690842127, 6.049103259519447e-11
756.3867899379323, 1.93762787581506e-11
908.5776140616908, 6.424379118094483e-12
1102.8789693424528, 2.05778120681975e-12
1388.7689549693948, 4.357596267772096e-13
1694.6583691472645, 1.1349670592626672e-13
2068.020005258353, 2.1676486161510975e-14
2445.5799423953704, 4.7527266766071345e-15
2892.1316940238257, 9.078550441928332e-16
3280.0064823333523, 1.6757562162308053e-16
